Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,36263.0,1269.0,25198.0,9796.0,106.0,10.0,18.0,3.5,69.49,5.04,35526.0,737.0,2.07,Eastern Mediterranean
Albania,4880.0,144.0,2745.0,1991.0,117.0,6.0,63.0,2.95,56.25,5.25,4171.0,709.0,17.0,Europe
Andorra,907.0,52.0,803.0,52.0,10.0,0.0,0.0,5.73,88.53,6.48,884.0,23.0,2.6,Europe
Angola,950.0,41.0,242.0,667.0,18.0,1.0,0.0,4.32,25.47,16.94,749.0,201.0,26.84,Africa
Argentina,167416.0,3059.0,72575.0,91782.0,4890.0,120.0,2057.0,1.83,43.35,4.21,130774.0,36642.0,28.02,Americas
Australia,15303.0,167.0,9311.0,5825.0,368.0,6.0,137.0,1.09,60.84,1.79,12428.0,2875.0,23.13,Western Pacific
Austria,20558.0,713.0,18246.0,1599.0,86.0,1.0,37.0,3.47,88.75,3.91,19743.0,815.0,4.13,Europe
Bahamas,382.0,11.0,91.0,280.0,40.0,0.0,0.0,2.88,23.82,12.09,174.0,208.0,119.54,Americas
Barbados,110.0,7.0,94.0,9.0,0.0,0.0,0.0,6.36,85.45,7.45,106.0,4.0,3.77,Americas
Belarus,67251.0,538.0,60492.0,6221.0,119.0,4.0,67.0,0.8,89.95,0.89,66213.0,1038.0,1.57,Europe
Belgium,66428.0,9822.0,17452.0,39154.0,402.0,1.0,14.0,14.79,26.27,56.28,64094.0,2334.0,3.64,Europe
Belize,48.0,2.0,26.0,20.0,0.0,0.0,0.0,4.17,54.17,7.69,40.0,8.0,20.0,Americas
Benin,1770.0,35.0,1036.0,699.0,0.0,0.0,0.0,1.98,58.53,3.38,1602.0,168.0,10.49,Africa
Bolivia,71181.0,2647.0,21478.0,47056.0,1752.0,64.0,309.0,3.72,30.17,12.32,60991.0,10190.0,16.71,Americas
Bosnia And Herzegovina,10498.0,294.0,4930.0,5274.0,731.0,14.0,375.0,2.8,46.96,5.96,8479.0,2019.0,23.81,Europe
Botswana,739.0,2.0,63.0,674.0,53.0,1.0,11.0,0.27,8.53,3.17,522.0,217.0,41.57,Africa
Brunei,141.0,3.0,138.0,0.0,0.0,0.0,0.0,2.13,97.87,2.17,141.0,0.0,0.0,Western Pacific
Burkina Faso,1100.0,53.0,926.0,121.0,14.0,0.0,6.0,4.82,84.18,5.72,1065.0,35.0,3.29,Africa
Cameroon,17110.0,391.0,14539.0,2180.0,402.0,6.0,0.0,2.29,84.97,2.69,16157.0,953.0,5.9,Africa
Canada,116458.0,8944.0,0.0,107514.0,682.0,11.0,0.0,7.68,0.0,inf,112925.0,3533.0,3.13,Americas
Central African Republic,4599.0,59.0,1546.0,2994.0,0.0,0.0,0.0,1.28,33.62,3.82,4548.0,51.0,1.12,Africa
Chad,922.0,75.0,810.0,37.0,7.0,0.0,0.0,8.13,87.85,9.26,889.0,33.0,3.71,Africa
